cap,dataset_gesture_total,dataset_ngesture_ratio,dataset_no_gesture,dataset_total,error,est_model_kb,hold_acc,hold_bal,hold_f1,hold_ok,model,params,preset,stream_acc,stream_bal,stream_circle,stream_f1,stream_no_g,stream_ok,stream_wave,thr_conf,thr_margin
16,80,0.4,32,112,,-1,50.0,51.01851851851852,50.23310023310024,False,svm_rbf,"{'C': 10.0, 'gamma': 0.05}",coherence_swap,68.75,68.87001887001887,76.19047619047619,68.3030303030303,72.72727272727273,False,57.692307692307686,0.2,0.0
16,80,0.4,32,112,,-1,59.09090909090909,61.38888888888888,62.96296296296296,False,svm_poly2,"{'C': 1.0, 'gamma': 0.03}",coherence_swap,61.25000000000001,64.54101454101455,90.47619047619048,61.91919191919192,45.45454545454545,False,57.692307692307686,0.2,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.722222222222214,57.467532467532465,False,svm_poly2,"{'C': 1.0, 'gamma': 0.05}",coherence_swap,61.25000000000001,64.81296481296481,90.47619047619048,61.943241943241944,42.42424242424242,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,-1,50.0,56.481481481481474,50.71225071225071,False,svm_poly2,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,51.24999999999999,50.21090021090021,52.38095238095239,50.36549707602339,63.63636363636363,False,34.61538461538461,0.7,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.25925925925926,53.62318840579711,False,svm_poly2,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,61.25000000000001,65.15151515151516,100.0,61.430113583028245,45.45454545454545,False,50.0,0.2,0.0
16,80,0.4,32,112,,0.19921875,63.63636363636363,68.5185185185185,65.16339869281046,False,svm_linear,{'C': 0.5},coherence_swap,60.0,61.46076146076146,66.66666666666666,60.3395225464191,48.484848484848484,False,69.23076923076923,0.2,0.0
16,80,0.4,32,112,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 0.5},coherence_swap,,,,,,,,,
16,80,0.4,32,112,,0.19921875,63.63636363636363,68.5185185185185,65.16339869281046,False,svm_linear,{'C': 1.0},coherence_swap,61.25000000000001,62.47086247086248,66.66666666666666,61.67933840202748,51.515151515151516,True,69.23076923076923,0.2,0.0
16,80,0.4,32,112,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 1.0},coherence_swap,,,,,,,,,
16,80,0.4,32,112,,0.19921875,63.63636363636363,68.5185185185185,65.16339869281046,False,svm_linear,{'C': 2.0},coherence_swap,60.0,62.03796203796203,71.42857142857143,60.30404064459791,45.45454545454545,False,69.23076923076923,0.2,0.0
16,80,0.4,32,112,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 2.0},coherence_swap,,,,,,,,,
16,80,0.4,32,112,,0.19921875,59.09090909090909,64.35185185185185,60.58201058201059,False,lda,{'solver': 'svd'},coherence_swap,58.75,61.91031191031192,80.95238095238095,58.753133658794034,39.39393939393939,False,65.38461538461539,0.2,0.0
16,80,0.4,32,112,,0.19921875,40.909090909090914,33.33333333333333,19.35483870967742,False,lda,{'solver': 'lsqr'},coherence_swap,26.25,33.33333333333333,100.0,13.86138613861386,0.0,False,0.0,0.2,0.0
16,80,0.4,32,112,The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.,,,,,,qda,{'reg_param': 0.0},coherence_swap,,,,,,,,,
16,80,0.4,32,112,,-1,63.63636363636363,68.05555555555554,67.6190476190476,False,qda,{'reg_param': 0.1},coherence_swap,62.5,65.51781551781552,85.71428571428571,62.98139970560685,45.45454545454545,False,65.38461538461539,0.2,0.0
16,80,0.4,32,112,,-1,63.63636363636363,68.05555555555554,67.6190476190476,False,qda,{'reg_param': 0.2},coherence_swap,61.25000000000001,64.81296481296481,90.47619047619048,61.5948794976928,42.42424242424242,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,-1,59.09090909090909,58.88888888888889,60.317460317460316,False,gnb,{'var_smoothing': 1e-09},coherence_swap,56.25,59.89010989010989,80.95238095238095,57.15594092442505,33.33333333333333,False,65.38461538461539,0.8999999999999999,0.0
16,80,0.4,32,112,,-1,59.09090909090909,58.88888888888889,61.82539682539683,False,gnb,{'var_smoothing': 1e-08},coherence_swap,55.00000000000001,59.45720945720946,85.71428571428571,55.20982069225513,27.27272727272727,False,65.38461538461539,0.7,0.0
16,80,0.4,32,112,,-1,59.09090909090909,64.35185185185185,64.21052631578948,False,nearest_centroid,{},coherence_swap,58.75,61.60506160506159,76.19047619047619,59.05747126436781,39.39393939393939,False,69.23076923076923,0.2,0.0
16,80,0.4,32,112,,0.37109375,54.54545454545454,56.1111111111111,55.55555555555555,False,decision_tree,"{'max_depth': 4, 'min_samples_leaf': 2}",coherence_swap,72.5,72.1056721056721,66.66666666666666,71.67659597358758,72.72727272727273,True,76.92307692307693,0.2,0.0
16,80,0.4,32,112,,0.56640625,54.54545454545454,55.648148148148145,56.427015250544656,False,decision_tree,"{'max_depth': 6, 'min_samples_leaf': 2}",coherence_swap,73.75,72.60517260517261,71.42857142857143,72.32569805919523,84.84848484848484,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,0.56640625,54.54545454545454,55.648148148148145,56.427015250544656,False,decision_tree,"{'max_depth': 8, 'min_samples_leaf': 2}",coherence_swap,73.75,72.60517260517261,71.42857142857143,72.32569805919523,84.84848484848484,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,0.94921875,50.0,51.01851851851852,54.2063492063492,False,mlp_tiny,"{'hidden': (12,), 'alpha': 0.0001}",coherence_swap,63.74999999999999,66.52791652791653,85.71428571428571,64.23926134082697,48.484848484848484,False,65.38461538461539,0.2,0.0
16,80,0.4,32,112,,0.94921875,50.0,51.01851851851852,54.2063492063492,False,mlp_tiny,"{'hidden': (12,), 'alpha': 0.001}",coherence_swap,62.5,64.94061494061495,80.95238095238095,63.24066010138228,48.484848484848484,False,65.38461538461539,0.2,0.0
16,80,0.4,32,112,,1.69921875,59.09090909090909,64.81481481481481,60.37491919844861,False,mlp_tiny,"{'hidden': (16, 8), 'alpha': 0.0001}",coherence_swap,73.75,72.57187257187258,66.66666666666666,72.96830927492948,81.81818181818183,True,69.23076923076923,0.5499999999999999,0.0
16,80,0.4,32,112,,1.69921875,45.45454545454545,50.27777777777778,46.209150326797385,False,mlp_tiny,"{'hidden': (16, 8), 'alpha': 0.001}",coherence_swap,66.25,65.3901653901654,61.904761904761905,65.73268921095008,72.72727272727273,False,61.53846153846154,0.2,0.30000000000000004
16,80,0.4,32,112,,2.91796875,72.72727272727273,75.92592592592592,72.85200179937023,False,mlp_tiny,"{'hidden': (24, 12), 'alpha': 0.0001}",coherence_swap,66.25,67.36041736041737,71.42857142857143,66.12159329140461,57.57575757575758,True,73.07692307692307,0.2,0.0
16,80,0.4,32,112,,2.91796875,68.18181818181817,72.22222222222221,68.37606837606836,False,mlp_tiny,"{'hidden': (24, 12), 'alpha': 0.001}",coherence_swap,67.5,67.79331779331778,66.66666666666666,67.22947459272845,63.63636363636363,True,73.07692307692307,0.2,0.0
20,80,0.5,40,120,,-1,64.0,64.4047619047619,63.471673254281946,False,svm_rbf,"{'C': 2.0, 'gamma': 0.03}",coherence_swap,73.75,75.42457542457542,85.71428571428571,73.88888888888889,63.63636363636363,True,76.92307692307693,0.2,0.0
20,80,0.5,40,120,,-1,60.0,61.07142857142856,59.84848484848485,False,svm_rbf,"{'C': 2.0, 'gamma': 0.05}",coherence_swap,73.75,74.84737484737485,80.95238095238095,73.71791483889153,66.66666666666666,True,76.92307692307693,0.2,0.0
20,80,0.5,40,120,,-1,60.0,61.07142857142856,59.84848484848485,False,svm_rbf,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,75.0,75.28027528027529,76.19047619047619,74.59552126861674,72.72727272727273,True,76.92307692307693,0.2,0.0
20,80,0.5,40,120,,-1,64.0,65.23809523809524,64.56043956043956,False,svm_rbf,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,75.0,74.70307470307472,71.42857142857143,74.44746376811594,75.75757575757575,True,76.92307692307693,0.2,0.05
20,80,0.5,40,120,,-1,60.0,61.07142857142856,59.84848484848485,False,svm_rbf,"{'C': 10.0, 'gamma': 0.03}",coherence_swap,73.75,73.3877233877234,66.66666666666666,73.13766086144602,72.72727272727273,True,80.76923076923077,0.2,0.0
20,80,0.5,40,120,,-1,72.0,71.9047619047619,72.27265488135053,True,svm_rbf,"{'C': 10.0, 'gamma': 0.05}",coherence_swap,80.0,78.98212898212898,66.66666666666666,78.84534752459281,81.81818181818183,True,88.46153846153845,0.2,0.05
20,80,0.5,40,120,,-1,56.00000000000001,57.14285714285715,57.14285714285715,False,svm_poly2,"{'C': 1.0, 'gamma': 0.03}",coherence_swap,63.74999999999999,63.369963369963365,61.904761904761905,63.71204746674084,66.66666666666666,False,61.53846153846154,0.2,0.05
20,80,0.5,40,120,,-1,56.00000000000001,57.14285714285715,56.66666666666666,False,svm_poly2,"{'C': 1.0, 'gamma': 0.05}",coherence_swap,63.74999999999999,64.79631479631479,71.42857142857143,64.1514258414416,57.57575757575758,True,65.38461538461539,0.2,0.0
20,80,0.5,40,120,,-1,56.00000000000001,57.14285714285715,57.14285714285715,False,svm_poly2,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,67.5,68.0985680985681,71.42857142857143,68.02063185041908,63.63636363636363,True,69.23076923076923,0.2,0.05
20,80,0.5,40,120,,-1,60.0,61.904761904761905,61.111111111111114,False,svm_poly2,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,65.0,64.6853146853147,66.66666666666666,64.80805275945852,69.6969696969697,False,57.692307692307686,0.2,0.0
